1,奥迪,brand_logo_33.png,A,.备注,是否需要P图
2,阿斯顿.马丁,brand_logo_35.png,A,.,
3,阿尔法.罗密欧,brand_logo_34.png,A,.,
4,AC Schnitzer,brand_logo_180.png,A,错,
5,本田,brand_logo_14.png,B,.,
6,别克,brand_logo_38.png,B,错,
7,宝马,brand_logo_15.png,B,.,
8,比亚迪,brand_logo_75.png,B,.,
9,奔驰,brand_logo_36.png,B,.,
10,标致,brand_logo_13.png,B,.,
11,保时捷,brand_logo_40.png,B,.,
12,奔腾,brand_logo_95.png,B,.,
13,北京汽车,brand_logo_27.png,B,.,
14,北汽制造,brand_logo_154.png,B,.,
15,宝骏,brand_logo_120.png,B,.,
16,宾利,brand_logo_391.png,B,.,
17,北汽威旺,brand_logo_143.png,B,.,
18,布加迪,brand_logo_37.png,B,.,
19,巴博斯,brand_logo_140.png,B,.,
20,保斐利,brand_logo_184.png,B,删除,
21,长安轿车,brand_logo_76.png,C,.,
22,长城,brand_logo_77.png,C,.,
23,长安商用,brand_logo_163.png,C,.,
24,昌河,brand_logo_79.png,C,.,
25,大众,brand_logo_1.png,D,.,
26,东风风行,brand_logo_113.png,D,错,
27,东南,brand_logo_81.png,D,.,
28,东风小康,brand_logo_142.png,D,.,
29,道奇,brand_logo_41.png,D,错,P
30,东风风神,brand_logo_113.png,D,.,
31,DS,brand_logo_169.png,D,.,
32,东风风度,brand_logo_113.png,D,.,
33,东风,brand_logo_113.png,D,缺,
34,大通,brand_logo_165.png,D,.,
35,福特,brand_logo_8.png,F,.,
36,丰田,brand_logo_3.png,F,.,
37,菲亚特,brand_logo_11.png,F,.,
38,法拉利,brand_logo_42.png,F,.,
39,福田,brand_logo_96.png,F,.,
40,福迪,brand_logo_141.png,F,.,
41,飞驰商务车,brand_logo_39.png,F,错,
44,广汽,brand_logo_82.png,G,.,
45,广汽吉奥,brand_logo_108.png,G,.,
46,观致汽车,brand_logo_152.png,G,.,
47,GMC,brand_logo_112.png,G,.,
48,光冈,brand_logo_116.png,G,.,
49,广汽日野,brand_logo_82.png,G,.,
50,哈弗,brand_logo_181.png,H,.,
51,海马,brand_logo_86.png,H,.,
52,华泰,brand_logo_87.png,H,.,
53,红旗,brand_logo_91.png,H,.,
54,海马商用车,brand_logo_86.png,H,.,
55,黄海,brand_logo_97.png,H,.,
56,哈飞,brand_logo_24.png,H,.,
57,海格,brand_logo_150.png,H,删除,
58,恒天汽车,brand_logo_25.png,H,删除,
59,汇众,brand_logo_451.png,H,.,
60,江淮,brand_logo_84.png,J,.,
61,Jeep,brand_logo_46.png,J,.,
62,吉利全球鹰,brand_logo_25.png,J,.,
63,吉利帝豪,brand_logo_25.png,J,.,
64,捷豹,brand_logo_44.png,J,.,
65,吉利英伦,brand_logo_25.png,J,.,
66,江铃,brand_logo_119.png,J,.,
67,金杯,brand_logo_83.png,J,缺,
68,江南,brand_logo_38.png,J,删除,
69,金龙联合,brand_logo_57.png,J,删除,
70,九龙,brand_logo_151.png,J,.,
73,凯迪拉克,brand_logo_47.png,K,.,
74,克莱斯勒,brand_logo_9.png,K,.,
75,开瑞,brand_logo_101.png,K,.,
76,科尼塞克,brand_logo_145.png,K,缺,
77,卡尔森,brand_logo_156.png,K,.,
78,铃木,brand_logo_53.png,L,.,
79,路虎,brand_logo_49.png,L,.,
