品牌id,品牌,车系id,车系,修改（认证车主LOGO车系使用）,厂商,,
1,奥迪,1,奥迪A4L,A4L,一汽奥迪,,
1,奥迪,2,奥迪Q5,Q5,一汽奥迪,,
1,奥迪,3,奥迪A6L,A6L,一汽奥迪,,
1,奥迪,4,奥迪Q3,Q3,一汽奥迪,,
1,奥迪,5,奥迪A3,A3,一汽奥迪,,
1,奥迪,6,奥迪A4,A4,一汽奥迪,,
1,奥迪,9,奥迪Q7(进口),Q7,进口奥迪,,
1,奥迪,10,奥迪A8L(进口),A8L,进口奥迪,,
1,奥迪,11,奥迪R8(进口),R8,进口奥迪,,
1,奥迪,12,奥迪A5(进口),A5,进口奥迪,,
1,奥迪,13,奥迪A1(进口),A1,进口奥迪,,
1,奥迪,14,奥迪A7(进口),A7,进口奥迪,,
1,奥迪,15,奥迪TT(进口),TT,进口奥迪,,
1,奥迪,16,奥迪A3(进口),A3,进口奥迪,,
1,奥迪,17,奥迪A6(进口),A6,进口奥迪,,
1,奥迪,18,奥迪A4(进口),A4,进口奥迪,,
1,奥迪,19,奥迪Q5(进口),Q5,进口奥迪,,
1,奥迪,20,奥迪S8(进口),S8,进口奥迪,,
1,奥迪,21,奥迪S5(进口),S5,进口奥迪,,
1,奥迪,22,奥迪Q3(进口),Q3,进口奥迪,,
1,奥迪,23,奥迪S7,S7,进口奥迪,,
1,奥迪,24,奥迪S6,S6,进口奥迪,,
1,奥迪,25,奥迪S4,S4,进口奥迪,,
1,奥迪,26,奥迪Allroad quattro(进口),Allroad quattro,进口奥迪,,
1,奥迪,28,奥迪RS5(进口),RS5,进口奥迪RS,,
1,奥迪,29,奥迪RS7,RS7,进口奥迪RS,,
2,阿斯顿.马丁,31,阿斯顿马丁ONE-77,ONE-77,阿斯顿·马丁,,
2,阿斯顿.马丁,32,阿斯顿马丁Rapide,Rapide,阿斯顿·马丁,,
2,阿斯顿.马丁,33,阿斯顿马丁Vanquish,Vanquish,阿斯顿·马丁,,
2,阿斯顿.马丁,34,阿斯顿马丁DB9,DB9,阿斯顿·马丁,,
2,阿斯顿.马丁,35,V8 Vantage(进口),V8 Vantage,阿斯顿·马丁,,
2,阿斯顿.马丁,36,阿斯顿马丁DB7,DB7,阿斯顿·马丁,,
2,阿斯顿.马丁,37,V12 Vantage(进口),V12 Vantage,阿斯顿·马丁,,
2,阿斯顿.马丁,38,阿斯顿马丁DBS(进口),DBS,阿斯顿·马丁,,
2,阿斯顿.马丁,39,阿斯顿马丁Virage,Virage,阿斯顿·马丁,,
2,阿斯顿.马丁,41,阿斯顿马丁Zagato,Zagato,阿斯顿·马丁,,
3,阿尔法.罗密欧,42,阿尔法罗密欧Gtv(进口),Gtv,阿尔法·罗密欧,,
3,阿尔法.罗密欧,46,166,166,阿尔法·罗密欧,异常，删除,
4,AC Schnitzer,48,AC Schnitzer ACS5,ACS5,AC Schnitzer,,
4,AC Schnitzer,49,AC Schnitzer ACS7,ACS7,AC Schnitzer,,
4,AC Schnitzer,50,AC Schnitzer ACS6,ACS6,AC Schnitzer,,
5,本田,51,本田CR-V,CR-V,东风本田,,
5,本田,52,思域,思域,东风本田,,
5,本田,53,杰德,杰德,东风本田,,
5,本田,54,思铭,思铭,东风本田,,
5,本田,55,思铂睿,思铂睿,东风本田,,
5,本田,56,艾力绅,艾力绅,东风本田,,
5,本田,57,雅阁,雅阁,广汽本田,,
5,本田,58,凌派,凌派,广汽本田,,
5,本田,59,锋范,锋范,广汽本田,,
5,本田,60,飞度,飞度,广汽本田,,
5,本田,61,歌诗图,歌诗图,广汽本田,,
5,本田,62,奥德赛,奥德赛,广汽本田,,
5,本田,63,思迪,思迪,广汽本田,,
5,本田,64,本田CR-Z,CR-Z,进口本田,,
5,本田,65,思域(进口),思域,进口本田,,
5,本田,66,音赛特(进口),音赛特,进口本田,,
5,本田,67,本田CR-V(进口),CR-V,进口本田,,
5,本田,68,雅阁(进口),雅阁,进口本田,,
5,本田,69,元素(进口),元素,进口本田,,
5,本田,70,时韵(进口),时韵,进口本田,,
5,本田,71,奥德赛(进口),奥德赛,进口本田,,
5,本田,72,里程(海外),里程,进口本田,,
6,别克,74,凯越,凯越,上海通用别克,,
6,别克,75,君威,君威,上海通用别克,,
6,别克,76,英朗,英朗,上海通用别克,,
6,别克,77,君越,君越,上海通用别克,,
6,别克,78,昂科拉,昂科拉,上海通用别克,,
6,别克,80,GL8,GL8,上海通用别克,,
6,别克,81,林荫大道,林荫大道,上海通用别克,,
6,别克,82,凯越HRV,凯越HRV,上海通用别克,,
6,别克,83,凯越旅行车,凯越旅行车,上海通用别克,,
6,别克,84,赛欧,赛欧,上海通用别克,,
6,别克,85,荣御,荣御,上海通用别克,,
6,别克,86,昂科雷(进口),昂科雷,进口别克,,
7,宝马,89,宝马3系,3系,华晨宝马,,
7,宝马,90,宝马5系,5系,华晨宝马,,
7,宝马,91,宝马X1,X1,华晨宝马,,
7,宝马,92,宝马X5(进口),X5,进口宝马,,
7,宝马,93,宝马7系(进口),7系,进口宝马,,
7,宝马,94,宝马X6(进口),X6,进口宝马,,
7,宝马,95,宝马4系,4系,进口宝马,,
7,宝马,96,宝马X3(进口),X3,进口宝马,,
7,宝马,97,宝马1系(进口),1系,进口宝马,,
7,宝马,98,宝马Z4(进口),Z4,进口宝马,,
7,宝马,99,宝马5系(进口),5系,进口宝马,,
7,宝马,100,宝马3系(进口),3系,进口宝马,,
7,宝马,101,宝马5系GT(进口),5系GT,进口宝马,,
7,宝马,102,宝马3系GT,3系GT,进口宝马,,
7,宝马,103,宝马6系(进口),6系,进口宝马,,
7,宝马,105,宝马2系,2系,进口宝马,,
7,宝马,107,宝马X1(进口),X1,进口宝马,,
7,宝马,108,宝马M3,M3,进口宝马M系,,
7,宝马,109,宝马M6,M6,进口宝马M系,,
7,宝马,110,宝马X6 M,X6 M,进口宝马M系,,
7,宝马,111,宝马M5,M5,进口宝马M系,,
7,宝马,112,宝马X5 M,X5 M,进口宝马M系,,
7,宝马,114,宝马1系M,1系M,进口宝马M系,,
8,比亚迪,116,比亚迪S6,S6,比亚迪,,
8,比亚迪,117,速锐,速锐,比亚迪,,
8,比亚迪,118,比亚迪F3,F3,比亚迪,,
8,比亚迪,119,比亚迪F0,F0,比亚迪,,
8,比亚迪,120,比亚迪L3,L3,比亚迪,,
8,比亚迪,121,思锐,思锐,比亚迪,,
8,比亚迪,122,比亚迪G6,G6,比亚迪,,
8,比亚迪,123,比亚迪M6,M6,比亚迪,,
8,比亚迪,124,比亚迪S8,S8,比亚迪,,
8,比亚迪,125,比亚迪G3,G3,比亚迪,,
8,比亚迪,126,比亚迪F6,F6,比亚迪,,
8,比亚迪,127,比亚迪G3R,G3R,比亚迪,,
8,比亚迪,128,比亚迪E6,E6,比亚迪,,
8,比亚迪,129,比亚迪F3R,F3R,比亚迪,,
8,比亚迪,130,比亚迪F3DM,F3DM,比亚迪,,
8,比亚迪,131,秦,秦,比亚迪,,
8,比亚迪,132,福莱尔,福莱尔,比亚迪,,
9,奔驰,133,奔驰E级,E级,北京奔驰,,
9,奔驰,134,奔驰C级,C级,北京奔驰,,
9,奔驰,135,奔驰GLK级,GLK级,北京奔驰,,
9,奔驰,136,唯雅诺,唯雅诺,福建奔驰,,
9,奔驰,137,威霆,威霆,福建奔驰,,
9,奔驰,138,凌特,凌特,福建奔驰,,
9,奔驰,139,奔驰S级(进口),S级,进口奔驰,,
9,奔驰,140,奔驰M级(进口),M级,进口奔驰,,
9,奔驰,141,奔驰A级(进口),A级,进口奔驰,,
