1门店名称,2电话,3所属城市,4区域,5星级,6所属分类,7sheng,8shi,9qu,10addredd,X坐标,Y坐标
阜阳-鹏恩车友会所,15905588126,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,颍州南路万霖花苑东门南侧50米,32.875011,115.828999
阜阳-小蜜蜂汽车养护中心,18155828557,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,颍州区纬二路丽晶佳苑东,32.867397,115.870484
阜阳-车之佳汽车美容装饰服务,15900755582,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,中南大道与临泉路交叉口向东100米,32.90395,115.80753
阜阳-兄弟汽车美容,13616214422,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,颍州路与双清路交叉口向西200米路北,32.890494,115.826196
阜阳-广发汽车美容装饰部,0558-2362109,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,南二环蓝色雅典666号,32.889118,115.810561
阜阳-车管家汽车养护中心,18726558112,阜阳市,正阳县,1,车行,安徽省,阜阳市,颍州区,阜阳南站东500米春益雅苑楼下,32.881867,115.843914
正阳·车宝贝汽车美容装饰,13939673960,驻马店市,颍州区,1,车行,河南省,驻马店市,正阳县,正阳县南环城一路与中心街交叉口向北100向西,32.599339,114.39633
阜阳-车丞相汽车装饰美容中心,18505586683,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,西湖北路水利明珠小区东门北侧,32.922768,115.806618
阜阳-宏泰汽车维修服务中心,0558-2335558,阜阳市,颍东区,1,车行,安徽省,阜阳市,颍东区,向阳办东平路和谐佳苑5栋S109号,32.901432,115.864255
阜阳-天行车友汽车美容装饰,0558-2188656,阜阳市,颍州区,2,车行,安徽省,阜阳市,颍州区,南二环供电局家属院西门南侧100米,32.881024,115.830745
阜阳.速度汽车美容养护中心,0558-2218886,阜阳市,颍州区,2,车行,安徽省,阜阳市,颍州区,一道河东路怡园小区36号（汽车南站西300米）,32.885463,115.83358
阜阳.征途汽车美容养护中心,13865583037,阜阳市,颍州区,2,车行,安徽省,阜阳市,颍州区,天瑞名城小区东门福田眼科医院北100米,32.874133,115.839474
大连·沿海汽车美容,13671016494,大连市,甘井子区,1,车行,辽宁省,大连市,甘井子区,大连市甘井子区华北路地铁站旁沿海建筑停车场内,39.013533,121.600408
郑州·速洁车美,13776121211,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市索凌路银河路交叉口华联负一楼,34.831856,113.646994
大连·邓禄普西南路店,0411-84602027,大连市,沙河口区,1,车行,辽宁省,大连市,沙河口区,大连市沙河口区西南路610号（黄河桥南行100米）,38.916548,121.572999
大连·赤龍养车,0411-82496369,大连市,中山区,1,车行,辽宁省,大连市,中山区,大连市中山区八一路131号（八一路转盘西行200米如家酒店旁）,38.888133,121.642872
大连·驰加西安路店,0411-84528997,大连市,沙河口区,1,车行,辽宁省,大连市,沙河口区,大连市沙河口区沙河口中长街24号（沙区火车站长城医院西行50米）,38.930917,121.59603
大连·驰加胜利路店,0411-84355999,大连市,西岗区,1,车行,辽宁省,大连市,西岗区,大连市西岗区胜利路111号（大显酒店斜对面）,38.908209,121.613525
大连·驰加解放路店,0411-62881899,大连市,中山区,1,车行,辽宁省,大连市,中山区,大连市中山区解放路604号（桃源桥东行20米工行旁）,38.890521,121.662692
大连·通达洗车,13204050091,大连市,中山区,1,车行,辽宁省,大连市,中山区,大连市中山区春德街86号（近二七市委）,38.923553,121.67543
大连·舒雅汽车美容,15754016970,大连市,甘井子区,1,车行,辽宁省,大连市,甘井子区,大连市甘井子区辛寨子街道辛塔街169号,38.962811,121.531525
大连·美安达汽车养护中心,13940962783,大连市,甘井子区,1,车行,辽宁省,大连市,甘井子区,大连市甘井子区锦城西园4#4-1-2,38.95278,121.550843
大连·隆腾美车会所,13591800168,大连市,甘井子区,1,车行,辽宁省,大连市,甘井子区,大连市甘井子区红旗西路104-11（西城小学旁）,38.940072,121.527857
大连·恒源汽车美容,13940980416,大连市,沙河口区,1,车行,辽宁省,大连市,沙河口区,大连市沙河口区黄河路817号（黄河路与西山街交汇处),38.918177,121.581806
大连·革新汽车美容,18842820081,大连市,甘井子区,1,车行,辽宁省,大连市,甘井子区,大连市甘井子区辛寨子街道前革村张前路789号,38.996105,121.525681
大连·车都市汽车美容用品坊,13478787006,大连市,沙河口区,1,车行,辽宁省,大连市,沙河口区,大连市沙河口区富民路239号3单元1-2,38.933174,121.576093
漯河·御车坊汽车美容生活馆,18539509918,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市解放路南段电力器材厂对面,33.551888,114.054895
漯河·爱车世家汽车美容维修服务,13781709385,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市召陵区桐柏山路与滦河路交叉口上城公馆红黄蓝幼儿园楼下,33.593222,114.09231
漯河·东方汽车美容装饰,13939593860,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市人民路与衡山路交叉口向南路西200米,33.572033,114.07596
漯河·驰耐安汽车装饰美容中心,13069565556,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市金山路与湘江路交叉口向东100米路南,33.564835,114.068634
漯河·宝隆汽车服务,13603956073,漯河市,召陵区,1,车行,河南省,漯河市,召陵区,漯河市解放路中段八一路口南50米路西,33.567959,114.054786
阜阳·申百立汽车养护美容中心,0558-2488688,阜阳市,颍东区,1,车行,安徽省,阜阳市,颍东区,阜阳市北京东路颍东区委斜对面,32.919249,115.864819
阜阳·金诺汽车养护中心,0558-2231919,阜阳市,市辖区,1,车行,安徽省,阜阳市,市辖区,阜阳市新三中北100米正基首府东大门旁,32.879588,115.803095
上蔡·锦晟汽车维修服务中心,18839608571,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县蔡侯路东段二里农贸市场对面,33.280757,114.297096
郑州·致远汽车快速服务中心2号店,13721405525,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市金水区国基路与普庆路交叉口向北200米路西,34.827548,113.650415
郑州·乐途汽车维修服务,13213141565,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市秦岭路五龙口路向东100米路西,34.79119,113.615756
郑州·德国马牌,15003814078,郑州市,二七区,1,车行,河南省,郑州市,二七区,郑州市长江路嵩山路向北200米,34.719012,113.634839
漯河·小楚汽车美容会所,15565909600,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市海河路与舟山路交叉口西北角,33.593048,114.041636
漯河·车生活一站式汽车美容装饰,18939555569,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市辽河路西段加油站对面 ,33.598528,113.995627
漯河·小拇指,18739596878,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市泰山路与柳江路交叉口向西200米,33.563859,114.02925
漯河·佳诚汽车装饰美容中心,15539559990,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市海河路与祁山路交叉口向东150米路南,33.592867,114.016891
漯河·固特异轮胎,13507656699,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市泰山路与松江路交叉口东南角,33.601171,114.031669
漯河·车爵仕汽车美容装饰,18539536085,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市滨河路涵洞西口路南,33.582905,114.049204
郑州·油易换汽车服务有限公司,15637159000,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区天时路9号,34.787645,113.758022
驻马店·合威汽车美容,0396-3578688,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市团结路与文明路交叉口向东100米路北,32.99771,114.024976
太和·爱车之家,15956893111,阜阳市,太和县,1,车行,安徽省,阜阳市,太和县,太和县文明东路曙光新村,33.168121,115.644468
太和·车骏易汽车美容,13215588885,阜阳市,太和县,1,车行,安徽省,阜阳市,太和县,太和县健康东路第十小学东30米路南,33.163988,115.646378
阜阳·爱车美车汽车美容,18005582526,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,阜阳市颍州区清河西路港利上城国际南门向西100米,32.900601,115.795938
阜阳·龙腾飞汽车美容,18655863727,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,阜阳市颍州淮河路767号万达广场A-3区8栋（银河金座东门斜对面）,32.878425,115.823523
阜阳·靓车屋汽车装饰养护中心,13956795226,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,阜阜阳市颍州南路电业局小区颐泰园西门华联隔壁,32.881609,115.830837
阜阳·e车站专业汽车美容养护中心,18555083980,阜阳市,颍泉区,1,车行,安徽省,阜阳市,颍泉区,阜阳市颍泉区北京中路交警六大队西200米,32.918154,115.838881
阜阳·66公路,17355820166,阜阳市,市辖区,1,车行,安徽省,阜阳市,市辖区,阜阳市东城墙路温州街20栋,32.908612,115.823123
颍上·寰宇汽车美容养护会所,18755856868,阜阳市,颍上县,1,车行,安徽省,阜阳市,颍上县,颍上县城北新区皇府上郡西门（天鹅湖北50米）,32.659183,116.256938
颍上·车美居美容会所,18956711828,阜阳市,颍上县,1,车行,安徽省,阜阳市,颍上县,颍上县建颍路107号（管仲新村东门北50米）,32.647322,116.260929
临泉·协润汽车划痕修复专家,15398152729,阜阳市,临泉县,1,车行,安徽省,阜阳市,临泉县,临泉县解放南大街与阜临路交叉口向东100米路北,33.054354,115.26157
临泉·百车汇汽车生活馆,15215587268,阜阳市,临泉县,1,车行,安徽省,阜阳市,临泉县,临泉县四化东路王柿园,33.057928,115.276177
界首·护车使者养护中心,18856816622,阜阳市,界首市,1,车行,安徽省,阜阳市,界首市,界首市火车站路口向西100米路南,33.270003,115.381763
界首·鼎尚汽车美容会所,13335589296,阜阳市,界首市,1,车行,安徽省,阜阳市,界首市,界首市新阳路矿泉浴池东50米,33.276254,115.365549
阜南·大唐汽车服务,0558-6663566,阜阳市,阜南县,1,车行,安徽省,阜阳市,阜南县,阜南县三塔北路城市花园西门北侧20米,32.663004,115.597018
阜南·鑫龙车友会,0558-2884488,阜阳市,阜南县,1,车行,安徽省,阜阳市,阜南县,阜南县南阳大道建材市场北门向北100米,32.658034,115.601054
阜阳·恒之星汽车美容装饰,15856883268,阜阳市,市辖区,1,车行,安徽省,阜阳市,市辖区,阜阳市汽车北站西200米路南公交二公司楼下,32.924863,115.825453
太和·博莱森汽车养护服务站,0558-2931558,阜阳市,太和县,1,车行,安徽省,阜阳市,太和县,太和县三角元长途汽车站往东100米路北,33.228682,115.610345
太和·洗车人家,15222983555,阜阳市,太和县,1,车行,安徽省,阜阳市,太和县,太和县国泰路锦都花园西门,33.183231,115.621387
郑州·豫涛汽修连锁·正车店,0371-86631313,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市金水区国基路金杯路交叉口东南角50米路南,34.825803,113.637618
周口·潇南汽车美容装饰,13084290051,周口市,市辖区,1,车行,河南省,周口市,市辖区,周口市交通路东段格林绿色港湾大门向西50米路南,33.608854,114.690229
周口·美之星汽车装饰美容中心,13253770004,周口市,川汇区,1,车行,河南省,周口市,川汇区,周口市川汇区交通路西段现代城门口东200路南,33.615746,114.632971
周口·特福莱全球汽车连锁汽车服务,15346091677,周口市,市辖区,1,车行,河南省,周口市,市辖区,周口市文昌大道大庆路交叉口向西200路北,33.637956,114.673028
周口·爱马汽车美容会所,15294973871,周口市,川汇区,1,车行,河南省,周口市,川汇区,周口市交通路与大庆路交叉口向西200米路南（烟草局家属院楼下）,33.61658,114.671419
周口·谊丰汽车美容中心,18738865660,周口市,川汇区,1,车行,河南省,周口市,川汇区,周口市川汇区工农路南段锦绣花园酒店对面,33.612371,114.669686
周口·忠银汽车美容中心,15936052888,周口市,市辖区,1,车行,河南省,周口市,市辖区,周口市黄河路与六一路交叉口路南,33.609219,114.659708
周口·忠银汽车装饰·莲花路店,13525760019,周口市,市辖区,1,车行,河南省,周口市,市辖区,周口市莲花路与中州路交叉口西30米路北,33.604173,114.643765
漯河·车饰界汽车美容会所,15903955386,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市大学路西段联通大厦斜对面,33.574452,114.00812
郑州·优畅汽车美容会所,13623823639,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市金水路沙口路向北50米路东,34.771068,113.65247
郑州·快车道·华冠汽车美容,18937105177,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市秦岭路与建设路南200米路东,34.760264,113.61018
郑州·车驿站锦湖轮胎,18638396935,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市二环支路与瑞光路交叉口向西100米路南,34.771874,113.642667
郑州·车地带汽车服务,15981944966,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市桐柏北路威尼斯水城3期商业街路南,34.786307,113.623414
漯河·炫车一族汽车美容装饰,15239513325,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市汉江路许慎幼儿园对面,33.580392,114.0132
漯河·天美汽车一站式服务,15039507608,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市汉江路东段小花盆西侧,33.580825,114.007301
漯河·宝鼎车饰品牌店,13903956395,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市建设路和泰山路交叉口,33.571229,114.031718
郑州·固特异汽车美容装饰长江路店,13598815583,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市长江路工人路交叉口,34.716891,113.627193
郑州·德国马牌合之鑫汽车服务,13303834494,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市瑞达路宏兴街东南角,34.796076,113.58157
郑州·合鑫汽车服务,13373900325,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市电厂南路曙光街交叉口向南200米路东,34.80301,113.60934
郑州·卡美家汽车服务部,18337155517,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市南阳路岗杜街交叉口向东150米路南,34.775515,113.659443
漯河·車镇汽车美容会所,15939549991,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯漯河市泰山路南段厚皇朝国际对面,33.565014,114.030845
漯河·威杰龍靓车坊,13703855885,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市柳江路中段柳江医院对面,33.564686,114.023653
漯河·大拇指汽车美容中心,15639519266,漯河市,市辖区,1,车行,河南省,漯河市,市辖区,漯河市大学路与太行山路交叉口东南角,33.574014,114.011454
郑州·驰加·光辉店,13783558577,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市宋寨南街天明路向东300米路南,34.810824,113.649272
郑州·中华爱车一站式服务中心,13592675061,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市三全路花园路交叉口东北角,34.834576,113.688611
郑州·醒车汇汽车服务广场,13607692446,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市伊河路华山路向西100米路北,34.7484,113.608183
郑州·新港汽车服务中心,13526688553,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市经三路广电南路向东500米路南,34.811175,113.703679
郑州·赛维斯汽车装饰用品商行,13140000767,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市国基路丰庆路交叉口向西50米路北,34.826455,113.65418
郑州·樂驾养护专家,18839015791,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市三全路索凌路交叉口向西200米路南,34.837256,113.644084
郑州·老王汽车装饰,13592589737,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市华山路与岗坡路交叉口东北角,34.758584,113.606431
郑州·碧泉镀晶·嵩山路店,15136280214,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市嵩山路南三环交叉口向东20米路南,34.705376,113.636377
郑州·养车猫汽车服务连锁·橄榄城店,15136280214,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市连云路丹枫路向西200米路口右转50米路东,34.700745,113.674539
阜阳·鑫时代汽车美容维修中心,0558-2339986,阜阳市,市辖区,1,车行,安徽省,阜阳市,市辖区,阜阳市南京路紫金城西门北侧,32.917604,115.796964
阜阳·赛S汽车服务,0558-2706162,阜阳市,颍泉区,1,车行,安徽省,阜阳市,颍泉区,阜阳市界首路颍泉区政府对面依泉庭院,32.933558,115.814854
太和·枚凯车庄,0558-8677336,阜阳市,太和县,1,车行,安徽省,阜阳市,太和县,太和县建设东路与长征路交叉口西南角 ,33.178144,115.638805
太和·艺博汽车美容钣喷中心,18356805906,阜阳市,太和县,1,车行,安徽省,阜阳市,太和县,太和县客运北站南200米路东,33.184662,115.631625
太和·东盛汽车服务部,15255882720,阜阳市,太和县,1,车行,安徽省,阜阳市,太和县,太和县国泰路阳光花园门口,33.161403,115.619491
郑州·微利天弘汽车美容装饰,13663848365,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市红旗路与经七路交叉口西北角,34.783188,113.678543
郑州·车仕捷洗车坊,13333865163,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市淮北街民安路向北150米路西,34.737791,113.642472
郑州·车车在线汽车维修美容服务,18737101508,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市文博西路与白庙路向西100米,34.801529,113.676568
郑州·致远汽车快速服务中心1号店,13721405525,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市三全路与丰庆路向南300米,34.834794,113.654804
郑州·快车道·新世兴店,15138998666,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑密路与沁河路交叉口向西100米路南,34.728997,113.630007
郑州·快车道·汉江路店,15138998666,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市兴华南街与汉江路向东200米路北,34.721669,113.641683
阜阳·车王一站式汽车服务,15755860788,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,阜阳市颍州区一道河中路与阜王路交叉口向东100米路北,32.889001,115.817463
阜阳·畅行九州汽车维修服务中心,15856783959,阜阳市,颍州区,1,车行,安徽省,阜阳市,颍州区,阜阳市颍州区骆庄小区附近（经二路北200米）,32.87169,115.854501
阜阳·车之骄汽车服务中心,18155881598,阜阳市,颍泉区,1,车行,安徽省,阜阳市,颍泉区,阜阳市颍泉区中市办事处界首路166号,32.934666,115.816655
郑州·三轮车夫一站式汽车服务,18236984444,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市第八大街与经南四路交叉口向东100米,34.719139,113.77206
