门店名称,电话,所属城市,区域,星级,所属分类,地址,X坐标,Y坐标
郑州·速洁车美,13776121211,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市索凌路银河路交叉口华联负一楼",34.831856,113.646994
郑州·致远汽车快速服务中心2号店,13721405525,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市金水区国基路与普庆路交叉口向北200米路西",34.827548,113.650415
郑州·乐途汽车维修服务,13213141565,郑州市,中原区,1,车行,"河南省,郑州市,市辖区,郑州市秦岭路五龙口路向东100米路西",34.79119,113.615756
郑州·德国马牌,15003814078,郑州市,二七区,1,车行,"河南省,郑州市,二七区,郑州市长江路嵩山路向北200米",34.719012,113.634839
郑州·油易换汽车服务有限公司,15637159000,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区天时路9号",34.787645,113.758022
郑州·豫涛汽修连锁·正车店,0371-86631313,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市金水区国基路金杯路交叉口东南角50米路南",34.825803,113.637618
郑州·优畅汽车美容会所,13623823639,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市金水路沙口路向北50米路东",34.771068,113.65247
郑州·快车道·华冠汽车美容,18937105177,郑州市,中原区,1,车行,"河南省,郑州市,市辖区,郑州市秦岭路与建设路南200米路东",34.760264,113.61018
郑州·车驿站锦湖轮胎,18638396935,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市二环支路与瑞光路交叉口向西100米路南",34.771874,113.642667
郑州·车地带汽车服务,15981944966,郑州市,中原区,1,车行,"河南省,郑州市,市辖区,郑州市桐柏北路威尼斯水城3期商业街路南",34.786307,113.623414
郑州·固特异汽车美容装饰长江路店,13598815583,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市长江路工人路交叉口",34.716891,113.627193
郑州·德国马牌合之鑫汽车服务,13303834494,郑州市,中原区,1,车行,"河南省,郑州市,市辖区,郑州市瑞达路宏兴街东南角",34.796076,113.58157
郑州·合鑫汽车服务,13373900325,郑州市,中原区,1,车行,"河南省,郑州市,市辖区,郑州市电厂南路曙光街交叉口向南200米路东",34.80301,113.60934
郑州·卡美家汽车服务部,18337155517,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市南阳路岗杜街交叉口向东150米路南",34.775515,113.659443
