"id","name","phone","city","star","category","address","created_at","updated_at"
"2","大连·赤龍养车","0411-82496369","大连市","1","车行","辽宁省,大连市,中山区,大连市中山区八一路131号...","2016-11-14 09:28:08.063992","2016-11-14 09:28:08.063992"
"2","大连·驰加西安路店","0411-84528997","大连市","1","车行","辽宁省,大连市,沙河口区,大连市沙河口区沙河口中长...","2016-11-14 09:28:08.073567","2016-11-14 09:28:08.073567"
"3","大连·驰加胜利路店","0411-84355999","大连市","1","车行","辽宁省,大连市,西岗区,大连市西岗区胜利路111号...","2016-11-14 09:28:08.075353","2016-11-14 09:28:08.075353"
"4","大连·驰加解放路店","0411-62881899","大连市","1","车行","辽宁省,大连市,中山区,大连市中山区解放路604号...","2016-11-14 09:28:08.077002","2016-11-14 09:28:08.077002"
"5","大连·通达洗车","13204050091","大连市","2","车行","辽宁省,大连市,中山区,大连市中山区春德街86号（...","2016-11-14 09:28:08.078609","2016-11-14 09:28:08.078609"
"6","大连·舒雅汽车美容","15754016970","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区辛寨子街道...","2016-11-14 09:28:08.080353","2016-11-14 09:28:08.080353"
"7","大连·美安达汽车养护中心","13940962783","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区锦城西园4...","2016-11-14 09:28:08.082161","2016-11-14 09:28:08.082161"
"8","大连·隆腾美车会所","13591800168","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区红旗西路1...","2016-11-14 09:28:08.084388","2016-11-14 09:28:08.084388"
"9","大连·恒源汽车美容","13940980416","大连市","1","车行","辽宁省,大连市,沙河口区,大连市沙河口区黄河路81...","2016-11-14 09:28:08.087308","2016-11-14 09:28:08.087308"
"10","大连·革新汽车美容","18842820081","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区辛寨子街道...","2016-11-14 09:28:08.089832","2016-11-14 09:28:08.089832"
"11","大连·车都市汽车美容用品坊","13478787006","大连市","1","车行","辽宁省,大连市,沙河口区,大连市沙河口区富民路23...","2016-11-14 09:28:08.091974","2016-11-14 09:28:08.091974"
"12","漯河·御车坊汽车美容生活馆","18539509918","漯河市","1","车行","河南省,漯河市,市辖区,漯河市解放路南段电力器材厂...","2016-11-14 09:28:08.093613","2016-11-14 09:28:08.093613"
"13","漯河·爱车世家汽车美容维修服务","13781709385","漯河市","1","车行","河南省,漯河市,市辖区,漯河市召陵区桐柏山路与滦河...","2016-11-14 09:28:08.095139","2016-11-14 09:28:08.095139"
"14","漯河·东方汽车美容装饰","13939593860","漯河市","1","车行","河南省,漯河市,市辖区,漯河市人民路与衡山路交叉口...","2016-11-14 09:28:08.097003","2016-11-14 09:28:08.097003"
"15","阜阳-阳光宝贝","0558-2262026","阜阳市","2","优质生活","安徽省,阜阳市,颍州区,颍州中路文峰宾馆对面金城大...","2016-11-14 09:28:08.099297","2016-11-14 09:28:08.099297"
"16","漯河·驰耐安汽车装饰美容中心","13069565556","漯河市","1","车行","河南省,漯河市,市辖区,漯河市金山路与湘江路交叉口...","2016-11-14 09:28:08.101010","2016-11-14 09:28:08.101010"
"17","漯河·宝隆汽车服务","13603956073","漯河市","1","车行","河南省,漯河市,召陵区,漯河市解放路中段八一路口南...","2016-11-14 09:28:08.102851","2016-11-14 09:28:08.102851"
"18","阜阳-衣来净洗衣店","13339221518","阜阳市","1","优质生活","安徽省,阜阳市,颍州区,天瑞名城东区大门南50米路...","2016-11-14 09:28:08.105127","2016-11-14 09:28:08.105127"
"19","阜阳-尼罗亚商务酒店","0558-2589888","阜阳市","2","宾馆酒店","安徽省,阜阳市,颍州区,魁星路2号（友好医院旁）","2016-11-14 09:28:08.107043","2016-11-14 09:28:08.107043"
"20","阜阳-御景家园酒店","0558-3872888","阜阳市","3","宾馆酒店","安徽省,阜阳市,颍州区,人民西路与南京路交叉口","2016-11-14 09:28:08.109288","2016-11-14 09:28:08.109288"
"21","阜阳·申百立汽车养护美容中心","0558-2488688","阜阳市","1","车行","安徽省,阜阳市,颍东区,阜阳市北京东路颍东区委斜对...","2016-11-14 09:28:08.111275","2016-11-14 09:28:08.111275"
