门店名称,门店电话,账号,所属分类,所属城市,区域,地址,X坐标,Y坐标,图片地址
郑州·车宝贝,15324809111,15324809111,车行,郑州市,经开区,"河南省,郑州市,经开区,朝凤路与经南五路交叉口南700米路东",113.733363,34.712386,郑州·车宝贝.jpg
郑州·邓禄普轮胎聚龙服务部,0371-55083238,15515751225,车行,郑州市,惠济区,"河南省,郑州市,惠济区,电厂路北三环向南1000米路东",113.606887,34.801698,郑州·邓禄普轮胎聚龙服务部.jpg
郑州·河南安路汽车服务,0371-53398018,18137157971,车行,郑州市,经开区,"河南省,郑州市,经开区,第六大街经北一路向北20米路东",113.75773,34.72402,郑州·河南安路汽车服务.jpg
郑州·卡可琳汽车美容,0371-55953711,13283818181,车行,郑州市,管城回族区,"河南省,郑州市,管城回族区,普惠路列里路南100米路东（卢浮宫馆三期西门）",113.769539,34.737407,郑州·卡可琳汽车美容.jpg
郑州·靓车美容装饰,13598833814,13598833814,车行,郑州市,中原区,"河南省,郑州市,中原区，周海路正商明钻西门北30米",113.605524,34.782984,郑州·靓车美容装饰.jpg
郑州·路通汽车维修服务中心,13525576662,13525576662,车行,郑州市,管城回族区,"河南省,郑州市,管城回族区,郑尉路嵩阳中学家属楼1号",113.720206,34.701731,郑州·路通汽车维修服务中心.jpg
郑州·人和车服伏牛路店,18768863673,18768863673,车行,郑州市,中原区,"河南省,郑州市,中原区,伏牛路协作路向东300米路南",113.608393,34.750922,郑州·人和车服伏牛路店.jpg
郑州·人和洗护美容中心,15617909998,15617909998,车行,郑州市,金水区,"河南省,郑州市,金水区,博颂路与园田路东200米路北",113.655345,34.80871,郑州·人和洗护美容中心.jpg
郑州·盛行汽车美容,13949037049,13949037049,车行,郑州市,金水区,"河南省,郑州市,金水区,沙口路东风路交叉口向南300米路西",113.627982,34.787292,郑州·盛行汽车美容.jpg
郑州·腾远汽车养护服务中心,15136612368,15136612368,车行,郑州市,中原区,"河南省,郑州市,中原区,西三环与陇海路交叉口向东200米路南",113.59322,34.736093,郑州·腾远汽车养护服务中心.jpg
郑州·雨龙洁汽车服务,17788158325,17788158325,车行,郑州市,中原区,"河南省,郑州市,中原区,桐柏路煤仓北街风和日丽北门对面",113.612902,34.773905,郑州·雨龙洁汽车服务.jpg
驻马店·靓车坊汽车美容装饰会所,18039655366,18039655366,车行,驻马店市,确山县,"河南省,驻马店市,确山县,三里河乡护城路与铁北路交叉口往西20米路南",114.01873,32.804653,驻马店·靓车坊汽车美容装饰会所.jpg
驻马店·东方金典汽车装饰美容,15139659199,15139659199,车行,驻马店市,遂平县,"河南省,驻马店市,遂平县,希望大道与铜山大道交叉口向东50米路南",113.988979,33.158592,驻马店·东方金典汽车装饰美容.jpg
郑州·车驿站(大学路店),18638686549,18638686549,车行,郑州市,二七区,"河南省,郑州市,二七区,大学路建云街向东300米路北",113.6475,34.713232,郑州·车驿站(大学路店).jpg
郑州·博金汽车美容,15838169086,15838169086,车行,郑州市,惠济区,"河南省,郑州市,惠济区,南阳路宋寨南街博金商贸城院内",113.632883,34.801619,郑州·博金汽车美容.jpg
郑州·福豫汽车之家,17703719659,17703719659,车行,郑州市,二七区,"河南省,郑州市,二七区,航海路连云路向南300米路东",113.671185,34.715987,郑州·福豫汽车之家
郑州·特奥普汽车美容,17737131666,17737131666,车行,郑州市,管城回族区,"河南省,郑州市,管城回族区,航海路与豫英路交叉口向南300米路西",113.696687,34.715748,郑州·特奥普汽车美容
郑州·路加汽车服务站,15736760024,15736760024,车行,郑州市,管城回族区,"河南省,郑州市,管城回族区,石化路未来路交叉口向西500米",113.701353,34.732984,郑州·路加汽车服务站
郑州·沐兴汽车服务中心,17719803620,17719803620,车行,郑州市,经开区,"河南省,郑州市,经开区,第一大街与经北六路交叉口向西100米路北",113.738965,34.733528,郑州·沐兴汽车服务中心.jpg
郑州·人和车服伏牛路店,18768863673,18768863673,车行,郑州市,中原区,"河南省,郑州市,中原区伏牛路协作路向东300米路南",113.608393,34.750922,郑州·人和车服伏牛路店.jpg
郑州·天御汽车美容生活馆,18638280680,18638280680,车行,郑州市,郑东新区,"河南省,郑州市,郑东新区龙子湖育翔路德惠街交叉口东南角",113.805438,34.816558,郑州·天御汽车美容生活馆
郑州·嘻刷刷,18538066355,18538066355,车行,郑州市,管城回族区,"河南省,郑州市,管城回族区,碧云路春晖路交叉口向西200米路北",113.663042,34.713209,郑州·嘻刷刷
郑州·一号车吧汽车美容护理,15838090609,15838090609,车行,郑州市,郑东新区,"河南省,郑州市,郑东新区,通泰路永平路向北100米路西",113.733083,34.740164,郑州·一号车吧汽车美容护理
郑州·CC Racing汽车俱乐部,18300667691,18300667691,车行,郑州市,管城回族区,"河南省,郑州市,管城回族区,南三环中州大道交叉口北100米",113.711886,34.702563,郑州·CC Racing汽车俱乐部
